ParameterValue,Gene0_avg,Gene0_var,Gene1_avg,Gene1_var,Gene2_avg,Gene2_var,Gene3_avg,Gene3_var,Gene4_avg,Gene4_var
0.001,6.788484003965679,5.063326818322272,3.9178830559966014,4.045496062535031,5.473782342233724,4.741424723835826,5.15860822802434,5.107532445684991,5.161114193700974,4.824009639406241
0.001,5.029968512200726,5.228516044355451,6.101485179931614,4.8828091705716306,5.144266004772271,4.805430133159769,5.923230379288142,4.592375623959177,3.8981587240980544,5.1114296379068
0.002,5.8302393139224495,4.604981772040345,4.244570612973897,5.496707239454642,4.976452827403381,4.3038907247998095,4.923349187888259,3.9963619353753983,3.948987438328099,4.737296201506925
0.002,4.774515510659965,4.832268763574511,4.878795106070559,4.567201180880865,4.053510677742152,4.199825708029565,4.610969109649807,4.858599697020843,4.342235735576761,4.704442040966776
0.003,6.225039091758492,5.187407126447661,5.58368211999819,4.8604156656757596,6.483438736334812,4.384696465011964,5.701455161201395,4.816686440152228,3.244144493077097,4.687562527870648
0.003,4.878746366395022,4.4109007087644825,6.568131781008543,4.831616952292934,5.807714111874743,5.4382341696815475,4.917188787177795,5.51919615203275,6.503653656077082,4.595893622121626
0.004,5.469066957159852,4.760159664803253,4.992926467153606,4.680319720768401,3.713057847966848,5.268286108229539,4.7696705797724315,4.890773205379352,4.152839783119811,4.18401033830633
0.004,5.173182638011336,4.753650763240496,5.341559866177352,4.457527148735525,5.707097165613442,5.456496095814583,5.207576857380736,4.814028297548611,5.4745034899695115,5.080893724924663
0.005,4.94583188882989,3.9475221293169334,5.758903986934508,4.384078257678098,5.6571681143455095,4.418495549171707,4.259517533599668,4.5656213466186575,3.6021089726144693,4.115754561562461
0.005,5.777821186792916,5.0120019790417905,5.14836958787627,5.4403645826057545,5.226240054765868,4.492251011873915,4.632058429892697,5.107341827867038,5.312207675027916,6.333936407252858
0.006,3.9174264172652293,4.884679522258349,4.763041692844586,5.585459062564788,5.65960452959664,4.831594090621668,4.44795324266774,5.394014840800755,4.806118298485989,4.35839344458562
0.006,6.359935557608274,4.919377213736737,4.51555702317319,4.340993936051439,4.768925082039884,5.5620823882893005,4.788881235833622,5.278186326628698,4.611029674455682,4.71635545923448
0.007,4.2268145378098385,5.008412278970475,5.556329030133794,4.7020525384844705,5.690873292695438,5.632253255120732,4.693384827311124,5.407162384894857,5.78842182417443,4.026015593359209
0.007,6.022055613527107,4.13518115797586,5.466947032881772,4.305006185237894,5.300520502310556,5.442260054677669,5.80744539764252,4.919418178713813,5.339493992320748,3.592821940284841
0.008,4.029126638718097,4.468792443016971,6.650660879386113,5.080535866424171,4.3545798967753395,4.7336731408278,4.739691116236829,5.103426150155641,5.42052808438689,4.922049949413937
0.008,4.775530116865078,4.953783794885828,6.042938600788484,5.630035248555923,4.082204883096573,5.093620426442607,5.2798802887590846,4.579574651732102,4.7980750753839665,4.218858610426267
0.009000000000000001,5.144652815025003,4.7277288918702425,4.904569084699056,4.953447615592448,4.464010694779413,4.308860336022115,4.360897201968126,5.150238434396299,5.260574317670215,5.4282242660564215
0.009000000000000001,4.877508582022386,4.857961329753103,6.012378615263062,4.233034922778874,5.722845479241279,4.247007122336502,5.411664564655237,5.517679944184336,4.434478190379793,4.346236415559454
