ParameterValue,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std
0.005,5.414276558919711,5.009531844099738,5.670147523974303,5.089273855043668,3.3077695649208954,5.322897230723924,3.030225224559941,4.458875136680755,6.70017071783828,5.981627345486219
0.005,5.4698851346832384,4.47474530144702,4.493562144827612,5.396082853710545,4.657228135881493,5.21013828171791,5.732726676467164,4.892371210293794,5.0550923545429525,5.034812327495138
0.005,4.622510566040153,4.741188537317449,5.810308825682471,5.370917132300224,5.207809769838338,5.41294532729673,6.121053926645876,5.139630936630659,6.97425514273536,5.298689802267322
0.005,1.66602601034443,4.756550103796442,1.8461055922292584,3.3642018192756336,3.7666385750011435,4.632032260530008,5.67059585121279,5.291827687109245,5.729716661662698,4.38953287090563
0.005,3.4378288056732575,5.721155415127039,4.467430375868939,3.924564680842883,4.78653426394521,4.319569847908459,4.9391190547450945,3.6826637993631475,5.773667554001989,4.72435109361422
0.005,4.851853665105035,3.968174874028979,6.694852887729178,5.805511175417164,4.714365298214008,5.092810967490343,5.770281771250514,5.525154745097119,4.119279518961961,5.128581235885125
0.005,4.986119082843038,5.5519404545038515,7.4155737280585585,5.750429803850601,4.451644395997741,5.788490836263836,4.260430813573704,3.603151321942903,4.60491877741824,5.0516801840488155
0.005,6.006222816670646,4.501398066645686,3.275107492584365,3.843350677184974,7.2996217430143915,5.1944622896336545,3.8516488329270397,4.750244085883802,4.367182275489678,4.5785205237120365
0.005,4.122880794390761,4.764805373678985,5.715424640866107,4.533443376948575,6.153289865626297,4.99180914341947,5.8929692104951785,5.296737201627463,7.297064586809484,5.271822454189236
0.005,4.802166923696082,5.504607200350425,5.956495229774544,4.223416397218233,4.748660919093042,3.470896256725212,5.447533570700231,4.1283959997929305,4.127210551603832,5.574467298667344
0.005,6.569818814354122,3.962848143672901,3.897049282749827,4.932642826091668,5.5315454935393005,4.972045506440733,5.608063114649268,4.520537638626598,4.900087396809156,6.130865786865694
0.005,4.5761266238297305,4.898585770154714,4.2065859016513905,4.752107866313857,5.846752623094944,4.549085263040804,6.531013063656435,4.691754563864361,6.030615433983266,4.6062817444585065
0.005,3.6819727329360554,5.748105286002834,4.124438990594567,6.094389366272355,4.60192053673049,5.039104385591561,5.497377772197266,7.016477592921778,6.240514495558267,2.901771778769785
0.005,4.978381133307623,5.805608219603665,6.38928552943059,4.058364008810306,4.02339403273037,4.427091638031727,4.3606475021184785,6.193378229089681,3.20898324805117,4.383345661879854
0.005,5.668107284718199,4.066828273354556,4.670281389175752,4.36445810030624,3.1741514304460616,3.8387932606994397,7.058387302299007,6.4634421296780475,7.396675438658123,3.958251360599329
0.005,5.399005935350815,3.1890625984897145,4.597433113332583,5.0298243098547655,4.798370103108694,5.730990162210937,5.359026623405575,6.3692867616072,3.2728184494062593,2.9313012018358613
0.005,5.845283064138859,3.309206633419252,5.6497438999531315,5.041368529742249,6.364793502836695,4.636683430519611,4.101900806134677,3.6944343548849496,6.786424778027667,4.671161233479412
0.005,3.1958475433596836,6.102322262249278,4.318378093084799,4.734828531932847,5.6001609410876405,5.505072082801929,5.468144285948229,4.608178198979677,2.597204471398832,3.705054666393489
0.005,5.393995029698779,3.0177829304755677,5.03204313048372,5.03306364740443,7.119400346348167,4.685330419688164,5.815146757902294,4.979736525781072,4.852785663653372,5.022741367505938
0.005,3.2066302247407066,3.8937046009798175,6.406984461362223,5.89257518282721,3.276186637779572,5.714618627549768,3.1663937240588145,4.074583314894286,5.169187797362572,4.763644435273175
0.005,4.5994778975160715,4.377313226899738,4.587546019044116,6.124578430295589,3.7598886473390305,4.001340350634795,4.170702304711786,4.1477798260131005,3.213670926902065,4.238541923986422
0.005,2.361405960039294,4.072497065529012,4.1406571980660924,6.044835357905596,4.578699588467072,6.80245213065872,5.0661328093130455,6.172678520177321,5.692197682094618,4.851151610095887
0.005,5.282808559958135,4.191993764389735,5.801693577311921,6.741795876706994,5.103368343925873,5.516396223247929,4.740876498434344,5.18162298281759,3.477584671050316,3.9521842610892413
0.005,5.388475563310187,4.509972448604614,5.249354124388058,2.663293540596832,7.009731743840965,4.212091647306377,7.475085825434826,4.919272137050752,6.285073429716847,5.983876608148491
0.005,5.479327692706043,6.11108599681198,3.3632512217628348,4.115668282179805,3.7081791934777724,5.53974523101802,4.759601060720685,4.855793897845588,6.59102649519606,3.9653148568549725
0.005,4.669682661356369,4.266438666616463,7.270115569464252,3.7339388068752823,3.81544190938033,5.141708851879906,4.473211281668844,5.716019806510769,6.373678430798402,5.568348602900215
0.005,3.9109293061038906,5.148508011612323,5.32207046679487,4.59950750602197,5.162142505485396,4.433219184518419,3.7012808806282997,4.842384339605395,5.45174972381555,5.530088333663538
0.005,3.9858150155895116,3.6057960225054737,6.473344301209557,3.3090856985534773,5.749065565298737,3.655257318406986,2.7593100946444444,4.502771796702866,6.217189933019312,4.227612342040936
0.005,5.5400348850282235,5.145620238808167,6.397919770236341,4.130134137834264,4.1912097167479825,4.788465203276905,6.694464785696142,3.919220974486575,7.566060712376205,3.4868096435209455
0.005,4.11565524863791,4.993544804299377,5.086282779105199,4.599413833637255,4.725797616463326,4.627761722754358,7.10554651808256,4.7924425562771855,6.127079105907127,6.281858451001201
0.01,3.451376167998209,6.369741655285631,3.606365860422479,5.363501711452337,4.727404931876605,3.473759504080918,6.066794338787154,3.8200735894981084,4.737409318442871,5.0992088867603425
0.01,3.1781085630866053,4.0058485675417455,4.1503130365102985,5.055708409413644,3.279220773440517,5.1257464685230625,6.145434664560433,4.027891426212843,2.8053159229462086,5.157424856805101
0.01,5.859076527653133,4.338025389057209,4.677438167489077,4.760480815994766,6.097373217306727,3.338634470832322,6.530392211463419,4.009613722382937,3.7257797736405243,4.6347032537156085
0.01,2.9430855047659907,4.919716736431422,5.790472333896099,3.5004036974737622,2.630210392729428,5.558962823967679,4.016729640580341,5.257599784886071,4.997092698629699,4.0470418552156
0.01,5.511725705137575,5.296666646945374,5.847773654177909,3.8734894091820244,6.378192865184452,4.162269099328118,4.849231702575501,4.200976388439305,6.59489962268443,5.5663989435863375
0.01,7.979273756698879,5.164444581623942,5.745835591446827,4.756171848828135,5.179799395648566,3.9597554371355175,5.4343587972875635,6.545640495022101,5.894655289741939,3.2788163174839124
0.01,4.722453344824888,3.906866493992597,4.84621725886163,4.866410124868417,3.6530144345626234,4.00697466242015,3.789534677304783,4.402019372365857,6.991678597260847,6.543536980440158
0.01,2.7691112569077556,3.027054949666568,4.754140424367347,4.864837201356838,4.437017509703674,5.3003219570512945,4.638335931528915,3.992914436009308,3.759190500671887,4.4509176167605435
0.01,5.236379863332355,6.077838239394484,4.717338445937619,4.926360829835184,4.16321077942561,5.9375928668004585,4.279387796542836,3.8529591936176915,4.262306359097311,4.83939621423482
0.01,3.434683721133574,3.8087405396977845,4.183154454192132,5.100271205401374,4.6089836516651,4.9071091446317405,4.481753461444555,5.534520771123843,5.183530724527518,4.747761854891782
0.01,4.098344562223316,4.603820824676398,4.816742182432808,3.5317635632658724,2.858583304573967,3.681957745049574,3.9490178496678316,5.269757370551556,6.447027029479443,7.585297306417732
0.01,5.185469369601854,5.192674850319848,3.8499710730318366,4.517142109668396,5.26545406735573,4.798224583809048,6.9648848787747335,4.540681154373367,3.9544236422556933,5.37627760515329
0.01,5.506470722922782,3.1107116030079407,6.0971650805822435,4.2997396528879195,4.0598469642279,4.948249661347739,4.87459331133567,4.279084282814689,6.573655435772119,5.546447398602456
0.01,5.6934181997767945,5.7624472574311145,3.9655830563773233,4.562280103620918,4.582485778376291,5.559629461081665,3.6619884469463955,4.649436189881322,3.5387945302251738,4.500783398548482
0.01,5.336034199513213,5.058826154896919,7.552355975302598,5.650090284500017,5.330645367787292,3.9586685173688303,2.2620549526535494,4.40377163275915,5.2695587796259815,3.725404995865489
